"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"240","DYC","DYCKY","UNKNOWN","TRY","E",2000-01-01,"JM","WEEK ESTIMATE",2000-07-28,"EK","MONTH ESTIMATE",2003-02-15,"MONTH ESTIMATE","BEANIE","BNI","JM","TRYCKY",1971-11-01,2015-05-01,209,10288,932,7,0
"241","QCI","QUICKIE","UNKNOWN","TRY","E",2012-04-01,"JM","WEEK ESTIMATE",2012-06-15,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"TRYCKY",1971-11-01,2015-05-01,75,14762,NA,6,0
"242","ADC","ANDRONICUS","UNKNOWN","TTU",NA,2001-06-01,"JM","WEEK ESTIMATE",2002-03-04,"EK","MONTH ESTIMATE",NA,NA,NA,NA,NA,"TITUS",1982-11-01,NA,276,6787,NA,3,0
"243","TDE","TIDE",NA,"TUF","A",2022-10-06,"ERJ","DAY ESTIMATE",2023-04-08,"VF","WEEK ESTIMATE",NA,NA,NA,NA,NA,"TUF",2010-01-23,NA,184,4639,NA,4,0
"244","TOD","TOODALOO",NA,"TUK","E",2006-10-29,"SR","DAY ESTIMATE",2007-02-15,"EK","MONTH ESTIMATE",2009-10-01,"WEEK ESTIMATE","ROLL","RLL","MAS","TUK",1984-11-01,2016-04-15,109,8032,959,2,0
"245","RLL","ROLL","UNKNOWN","TUK","E",2009-10-01,"MAS","WEEK ESTIMATE",2011-02-13,"SAS","MONTH ESTIMATE",2014-03-01,"MONTH ESTIMATE","TUXEDO","TUX","JM","TUK",1984-11-01,2016-04-15,500,9100,1112,2,0
"246","BNK","BANKSIA","UNKNOWN","TUL","C",2012-09-21,"EK","WEEK ESTIMATE",2012-10-07,"VF","WEEK ESTIMATE",2013-10-25,"DAY ESTIMATE","POPPY","PPP","EK","TULIP",1994-11-01,NA,16,6534,383,10,1
"247","RAI","RAISIN",NA,"TWO","D",1999-02-01,"JM","MONTH ESTIMATE",1999-06-27,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"TWOSCOOPS",1964-11-01,2002-05-01,146,12510,NA,6,0
"248","MUF","MUF","FEMALE","UHF","A",1986-11-01,"JM","MONTH ESTIMATE",1989-01-13,"JM","MONTH ESTIMATE",1990-10-01,"WEEK ESTIMATE","URCHIN","URC","JM","UHF",1967-11-01,2003-05-01,804,6940,626,1,1
"249","ENU","ENUFF",NA,"UHF","A",2002-11-24,"AS","WEEK ESTIMATE",2003-03-22,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"UHF",1967-11-01,2003-05-01,118,12807,NA,3,0
"250","WYA","WYATT",NA,"URP","D",2003-10-15,"AS","WEEK ESTIMATE",2005-08-13,"SAS","MONTH ESTIMATE",NA,NA,NA,NA,NA,"URP",1973-11-01,2012-05-01,668,10940,NA,8,0
"251","IRD","INFRARED","UNKNOWN","UVE","A",2005-12-01,"JM","MONTH ESTIMATE",2006-09-13,"EK","MONTH ESTIMATE",2009-09-30,"DAY ESTIMATE","BANANABOAT","BNB","MAS","UV",1985-11-01,2018-09-01,286,7335,1113,9,1
"252","RED","REDO",NA,"VAM","G",1997-11-01,"CF","WEEK ESTIMATE",2000-03-25,"JM","MONTH ESTIMATE",2003-11-01,"MONTH ESTIMATE","RENOVATE","RNV","JM","REVAMP",1982-11-01,2010-05-01,875,5479,1316,3,0
"253","RNV","RENOVATE","UNKNOWN","VAM","G",2003-11-01,"JM","MONTH ESTIMATE",2005-02-13,"JM","MONTH ESTIMATE",2006-01-01,"MONTH ESTIMATE","REVIVE","RVV","JM","REVAMP",1982-11-01,2010-05-01,470,7670,322,2,0
